"Staff_Id","Staff_Name","Surname","Gmail","Type"
"1234567890A","María","García","marigar@gmail.com","Psycologist"
"1369674136B","Mauricio","Temur","maurict17@gmail.com","Social Care"
"2345678901F","Carlos","Rodríguez","carl145@gmail.com","Administrative"
"3210987654D","Laura","Martínez","lamtinez@gmail.com","Others"
"4196753183T","Rick","Sanchez","ricksanchez@gmail.com","Doctor"
"4567890123C","Lucia","Pérez","luperez@gmail.com","Psycologist"
"4567890123I","Sofia","López","soflo67@gmail.com","Doctor"
"5678901234E","Juan","Ramírez","ramiju89@gmail.com","Social Care"
"5678901567K","Daniel","Mendoza","danenloc3@gmail.com","Others"
"7890123456G","Valeria","Torres","valtor24@gmail.com","Others"
"7890123456M","Diego","Jiménez","goji1414@gmail.com","Psycologist"
"7890156789L","Ana","Flores","anaflo2434@gmail.com","Social Care"
"8465849452P","Ricardo","Milos","ricardomilos@gmail.com","Doctor"
"8901234567H","Luis","Ruiz","luri79@gmail.com","Administrative"
"9876543210B","Gabriela","Castro","gabi67@gmail.com","Others"
455268713W,Yeray,Escabias,yescabias@gmail.com,Doctor
1254789642E,Iker,Palomares,ikerpal@gmail.com,Psychologist
20232449Q,Oier,Letamendia,ioerletamendia@gmail.com,Others
1212457L,Jon,Mikel,JonMikel@gmail.com,Psychologist
